category,name,price,description
Starters & Snacks,Tully Tots,11.79,"Made from scratch with shredded potatoes, cheddar-jack cheese and Romano cheese all rolled up and deep-fried. Served with a spicy cheese sauce."
Starters & Snacks,Super Nachos,15.49,"Tortilla chips topped with a mix of spicy beef and refried beans, nacho cheese sauce, olives, pico de gallo, jalapeños, scallions and shredded lettuce. Sour cream and salsa on the side. Add guacamole $2.39"
Starters & Snacks,Mozzarella Sticks,11.49,Lightly battered and served with our own marinara sauce.
Starters & Snacks,Louisiana Crab Dip,11.49,"A blend of real and imitation crab meat, homemade and creamy with a little zing! Served with tortilla chips."
Starters & Snacks,Tully's Habañero Wings,15.69,This is where heat meets flavor! Lightly dusted with flour and tossed in our homemade habañero sauce. Bleu Cheese included.
Starters & Snacks,Garlic Parm Wings,15.69,Lightly dusted with four then tossed in our homemade garlic Parmesan sauce. Celery and Tully's Ranch dressing included.
Starters & Snacks,Salt & Pepper Wings,15.29,Tossed in our salt and pepper seasoning. Celery and Bleu Cheese included.
Starters & Snacks,Tully's Original Wings,15.29,"Lightly dusted with flour. Choose from Tully’s signature sauces: Mild, Medium, Hot, or BBQ. Celery and Bleu Cheese included."
Starters & Snacks,Tully's Buffalo Wings,15.29,Tossed in homemade Buffalo sauce. Celery and Bleu cheese included.
Starters & Snacks,Loaded Fries,13.29,"Smothered with melted Jack-cheddar cheese, bacon bits and Tully’s Ranch for dipping."
Starters & Snacks,Tex-Mex Eggrolls,12.99,"Filled with spicy chicken, corn, black beans, peppers, onions and melted cheese. Served with spicy Cajun sauce, salsa and tortilla chips."
Starters & Snacks,Chicken Wing Dip,12.59,Our homemade spicy dip topped with melted Jack-cheddar cheese and sour cream. Served with tortilla chips.
Starters & Snacks,Chicken-N-Cheese,12.19,Tully’s Tenders® and mozzarella sticks with Tully’s Honey Mustard and our own marinara sauce.
Starters & Snacks,Beef Birria Quesadilla,15.99,"Shredded beef marinated in chipotle adobo with cheddar-jack cheese, tomatoes, jalapeños, black olives, scallions, cilantro and black beans in a flour tortilla. Served with sour cream, shredded lettuce and pico de gallo. Add guacamole $2.39"
Starters & Snacks,Veggie Quesadilla,11.99,"A flour tortilla packed with cheese, tomatoes, jalapeños, black olives and scallions. Served with sour cream and pico de gallo."
The Best Chicken Tenders on Earth®,10 Tully's Tenders®,19.99,Served with Tully’s Honey Mustard sauce. Sub Buffalo or Asian Tenders add $1.00.
The Best Chicken Tenders on Earth®,Tully's Tenders® Appetizer,13.99,Hand battered chicken tenders served with fries and Tully’s Honey Mustard.
